Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind
2021-11-30 11:54:47,Buy EGLD,EGLD,0.2,,,EUR,69.7,79.503424884,crypto_purchase
2021-11-30 11:51:24,Buy WTC,WTC,100.0,,,EUR,87.64,99.9667167408,crypto_purchase
2021-11-30 11:34:35,Buy CHZ,CHZ,250.0,,,EUR,100.84,115.0233194448,crypto_purchase
2021-11-29 06:48:58,Card Cashback,CRO,3.42728549,,,EUR,2.33,2.6577185076,referral_card_cashback
2021-11-27 14:07:43,Card Cashback,CRO,4.54360011,,,EUR,3.2,3.650085504,referral_card_cashback
2021-11-26 21:26:22,Mission Rewards Deposit,CRO,1.8,,,EUR,1.11,1.2661234092,rewards_platform_deposit_credited
2021-11-26 21:22:45,Buy EGLD,EGLD,0.2,,,EUR,73.17,83.4614863524,crypto_purchase
2021-11-26 21:18:17,Buy SOL,SOL,0.663,,,EUR,118.21,134.8364398212,crypto_purchase
2021-11-26 21:14:57,Buy XLM,XLM,100.0,,,EUR,30.19,34.4362754268,crypto_purchase
2021-11-26 19:54:27,Supercharger Deposit (via app),CRO,-100.0,,,EUR,-60.49,-68.9980225428,supercharger_deposit
2021-11-26 14:06:17,Buy BTC,BTC,0.0025,,,EUR,122.1,139.273575012,crypto_purchase
2021-11-26 06:19:03,Buy QI,QI,500.0,,,EUR,110.62,126.1788932664,crypto_purchase
2021-11-25 05:01:39,Buy VET,VET,1000.0,,,EUR,112.61,128.4487901892,crypto_purchase
2021-11-24 21:14:52,Buy CSPR,CSPR,1000.0,,,EUR,152.69,174.1661111268,crypto_purchase
2021-11-24 07:41:39,Mission Rewards Deposit,CRO,2.5,,,EUR,1.94,2.2128643368,rewards_platform_deposit_credited
2021-11-23 17:33:58,USDC -> CRO,USDC,-96.270779,CRO,115.0,EUR,84.89,96.8299245108,crypto_exchange
2021-11-19 19:15:08,USDC -> SAND,USDC,-35.202858,SAND,8.0,EUR,30.96,35.3145772512,crypto_exchange
2021-11-19 19:08:14,USDC -> SOL,USDC,-29.995626,SOL,0.137,EUR,26.39,30.1017988908,crypto_exchange
2021-11-19 19:05:50,USDC -> ENJ,USDC,-30.211477,ENJ,8.08,EUR,26.58,30.3185227176,crypto_exchange
2021-11-19 19:00:40,Buy USDC,USDC,194.0,,,EUR,173.08,197.4239996976,crypto_purchase
2021-11-19 15:42:03,Buy FTM,FTM,10.0,,,EUR,19.6,22.356773712,crypto_purchase
2021-11-19 15:33:49,Buy HOT,HOT,1000.0,,,EUR,11.43,13.0376491596,crypto_purchase
2021-11-19 13:01:39,Buy MANA,MANA,7.0,,,EUR,24.91,28.4136343452,crypto_purchase
2021-11-19 12:34:52,Buy AVAX,AVAX,0.204,,,EUR,19.97,22.7788148484,crypto_purchase
2021-11-19 12:31:13,Buy WAXP,WAXP,40.0,,,EUR,32.94,37.5730676568,crypto_purchase
2021-11-19 12:28:55,Buy UNI,UNI,1.067,,,EUR,19.99,22.8016278828,crypto_purchase
2021-11-19 12:26:09,Buy SAND,SAND,5.0,,,EUR,19.36,22.0830172992,crypto_purchase
2021-11-19 12:24:14,Buy THETA,THETA,4.0,,,EUR,22.34,25.4821594248,crypto_purchase
2021-11-19 12:21:19,Buy SHIB,SHIB,500000.0,,,EUR,20.29,23.1438233988,crypto_purchase
2021-11-19 12:15:14,Buy GALA,GALA,100.0,,,EUR,21.04,23.9993121888,crypto_purchase
2021-11-19 12:11:33,Buy DOGE,DOGE,100.0,,,EUR,20.36,23.2236690192,crypto_purchase
2021-11-19 12:09:45,Buy CHZ,CHZ,50.0,,,EUR,20.2,23.041164744,crypto_purchase
2021-11-19 12:06:38,Buy ADA,ADA,12.0,,,EUR,19.64,22.4023997808,crypto_purchase
2021-11-16 13:37:20,CRO -> SAND,CRO,-12.4433916,SAND,2.0,EUR,4.42,5.0416806024,crypto_exchange
2021-11-16 13:19:00,CRO -> MANA,CRO,-7.210534,MANA,1.0,EUR,2.54,2.8972553688,crypto_exchange
2021-11-16 12:21:32,CRO -> AVAX,CRO,-10.8849911,AVAX,0.05,EUR,3.88,4.4257286736,crypto_exchange
2021-11-16 11:52:04,CRO -> ADA,CRO,-4.71045,ADA,1.0,EUR,1.65,1.882075338,crypto_exchange
2021-11-15 21:56:47,CRO -> ETH,CRO,-10.53946721,ETH,0.001,EUR,3.99,4.5512003628,crypto_exchange
2021-11-15 13:39:02,Sign-up Bonus Unlocked,CRO,53.49295546,,,EUR,21.77,24.8319879444,referral_gift
2021-11-15 13:38:04,CRO Stake,CRO,-877.0,,,EUR,-349.83,-399.0341912076,lockup_lock
2021-11-15 13:38:04,Buy CRO,CRO,877.0,,,EUR,349.99,399.2166954828,crypto_purchase
